title,imdb_id,tmdb_id
Dune,tt0087182,841
The Room,tt0368226,17473
The Miami Connection,tt0092549,59558
Fateful Findings,tt2332623,197599
The Adventures of Buckaroo Banzai: Across the Eighth Dimension,tt0086856,11379
Big Trouble in Little China,tt0090728,6978
Mazes and Monsters,tt0084314,27348
Birdemic: Shock and Terror,tt1316037,40016
Cats,tt5697572,536869
Super Mario Bros.,tt0108255,9607
Zardoz,tt0070948,4923
Life Force,tt0089489,11954
Samurai Cop,tt0130236,65374
Sgt. Kabukiman N.Y.P.D.,tt0117609,27994
Airplane!,tt0080339,813
Hardware,tt0099740,11309
Mortal Kombat: Annihilation,tt0119707,9823
Street Fighter,tt0111301,11667
Fifty Shades of Grey,tt2322441,216015
Jupiter Ascending,tt1617661,76757
Rock 'n' Roll Nightmare,tt0093873,36762
Troll 2,tt0105643,26914
Hackers,tt0113243,10428
Earth Girls are Easy,tt0097257,2210
Hausu,tt0076162,25623
Lair of the White Worm,tt0095488,11347
Queen of the Damned,tt0238546,11979
Hell Comes to Frogtown,tt0093171,22572
Aquaman,tt1477834,297802
Akira,tt0094625,149
Dagon,tt0264508,10836
Gymkata,tt0089243,14570
Vampire's Kiss,tt0098577,7091
Masters of the Universe,tt0093507,11649
"Ator, the Fighting Eagle",tt0085183,40075
The Burning,tt0082118,24124
Judge Dredd,tt0113492,9482
Critters,tt0090887,3980
Hellbound,tt0107101,63777
The Craft,tt0115963,9100
The Gingerdead Man,tt0364376,27296
The Return of the Living Dead,tt0089907,10925
Battlefield Earth,tt0185183,5491
Krull,tt0085811,849
Twilight,tt1099212,8966
The Wicker Man,tt0450345,9708
Planet Terror,tt1077258,1992
Big Money Rustlas,tt1380784,43700
I Worship His Shadow,tt0394764,788276
Batman & Robin,tt0118688,415
John Tucker Must Die,tt0455967,9293
Heathers,tt0097493,2640
Fifty Shades Darker,tt4465564,341174
Titanic: The Legend Goes On...,tt0330994,71235
Krampus,tt3850590,287903
Gremlins,tt0087363,927
Die Hard,tt0095016,562
Hardware,tt0099740,11309
Buffy the Vampire Slayer,tt0103893,10206
Noxious,tt8840492,552476
The Slumber Party Massacre,tt0084695,27475
Highlander,tt0091203,8009
Llamageddon,tt4642970,569957
Sleepaway Camp,tt0086320,13567
Fifty Shades Freed,tt4477536,337167
Purple Rain,tt0087957,13763
Color Out of Space,tt5073642,548473
Showgirls,tt0114436,10802
Love on a Leash,tt2185022,307124
Left Behind: The Movie,tt0190524,37302
Society,tt0098354,22244
Battleship,tt1440129,44833
Psycho Goreman,tt11252440,670428
Diamond Cobra vs the White Fox,tt3178320,1623374
Green Lantern,tt1133985,44912
Gigli,tt0299930,8046
Paprika,tt0851578,4977
The Twilight Saga: New Moon,tt1259571,18239
Death Becomes Her,tt0104070,9374
Mars Attacks!,tt0116996,75
Chopping Mall,tt0090837,28941
Velvet Goldmine,tt0120879,1808
Bio-Dome,tt0115683,9536
The Twilight Saga: Eclipse,tt1325004,24021
The Pumaman,tt0081693,31278
The Roller Blade Seven,tt0102804,88090
The Ice Pirates,tt0087451,10179
The Pumaman,tt0081693,31278
Maximum Overdrive,tt0091499,9980
Jungleground,tt0110215,63924
Batman Forever,tt0112462,414
King Kong vs. Godzilla,tt0056142,686487
Pacific Rim: Uprising,tt2557478,268896
Six-String Samurai,tt0118736,24746
Hard Ticket to Hawaii,tt0093146,26011
The Twilight Saga: Breaking Dawn - Part 1,tt1324999,50619
Down Periscope,tt0116130,9101
Thir13en Ghosts,tt0245674,9378
Logan's Run,tt0074812,10803
Nekrotronic,tt7453418,506775
The Good Humor Man,tt0042514,79964
Don't Go in the Woods,tt0182996,44936
The Twilight Saga: Breaking Dawn - Part 2,tt1673434,50620
Road House,tt0098206,10135
Red Dawn,tt0087985,1880
I Am Here... Now,tt1560653,99847
Dungeons & Dragons,tt0190374,11849
Pride and Prejudice and Zombies,tt1374989,58431
The Fellowship of the Ring,tt14358016,123034
Teenage Mutant Ninja Turtles,tt0100758,1498
The Last Dragon,tt0089461,13938
Dracula,tt0103874,6114
Deadly Prey,tt0092848,5753
Star Trek: The Motion Picture,tt0079945,152
Money Plane,tt7286966,694919
Waterworld,tt0114898,9804
Jurassic Park,tt0107290,329
Flash Gordon,tt0080745,3604
Point Break,tt0102685,1089
The Rocky Horror Picture Show,tt0073629,36685
An American Werewolf in London,tt0082010,814
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,tt0103060,1497
Meet the Feebles,tt0097858,8216
Nothing But Trouble,tt0102558,11933
Resident Evil,tt0120804,1576
National Lampoon's Vacation,tt0085995,11153
Swamp Women,tt0048682,27344
Highlander II: The Quickening,tt0102034,8010
Resident Evil: Apocalypse,tt0318627,1577
Starcrash,tt0079946,22049
Communion,tt0097100,28774
Pitch Perfect,tt1981677,114150
Airplane vs. Volcano,tt3417334,258210
Ghost,tt0099653,251
Last Action Hero,tt0107362,9593
Encino Man,tt0104187,10406
The Lawnmower Man,tt0104692,10163
Doctor Mordrid,tt0104115,1877
The Matrix,tt0133093,603
Plan 9 from Outer Space,tt0052077,10513
Flatliners,tt0099582,1551
Demons,tt0089013,14029
A Nightmare on Elm Street,tt0087800,377
Scooby-Doo,tt0267913,9637
Ghostbusters,tt1289401,43074
Sleepy Hollow,tt0162661,2668
Blood of Dracula,tt0050201,110336
Things,tt0183881,82126
Westworld,tt0070909,2362
The Fanatic,tt7869070,509853
Mortal Kombat,tt0113855,9312
Pitch Perfect 2,tt2848292,254470
Face/Off,tt0119094,754
Tremors,tt0100814,9362
Pitch Perfect 3,tt4765284,353616
Career Opportunities,tt0101545,16270
Emmet Otter's Jug-Band Christmas,tt0075988,20785
Gingerdead Man 2: Passion of the Crust,tt1161646,16846
Feeders 2: Slay Bells,tt0366436,146138
The Star Wars Holiday Special,tt0193524,74849
Elves,tt0099496,30452
Anna and the Apocalypse,tt6433880,461928
Jingle All the Way,tt0116705,9279
The Adventures of Pluto Nash,tt0180052,11692
Con Air,tt0118880,1701
The Rock,tt0117500,9802
Catwoman,tt0327554,314
A Nightmare on Elm Street 3: Dream Warriors,tt0093629,10072
Armageddon,tt0120591,95
Footloose,tt0087277,1788
Dellamorte Dellamore,tt0109592,21588
An Alan Smithee Film: Burn Hollywood Burn,tt0118577,78149
Resident Evil: Extinction,tt0432021,7737
Gremlins 2: The New Batch,tt0099700,928
Voyage of the Rock Aliens,tt0096402,38265
Heaven's Gate,tt0080855,10935
Zaat,tt0072666,31116
New Nightmare,tt0111686,11596
Spookies,tt0090057,26679
Siren Head,tt12706382,
Valerian and the City of a Thousand Planets,tt2239822,339964
Blood Link,tt0083659,30918
The Happening,tt0949731,8645
Lawnmower Man 2: Beyond Cyberspace,tt0116839,11525
The Ewok Adventure,tt0087225,1884
Battle Royale,tt0266308,3176
They Live,tt0096256,8337
Howard the Duck,tt0091225,10658
Congo,tt0112715,10329
Bright,tt5519340,400106
Wild Wild West,tt0120891,8487
The Guardians,tt4600952,354556
The Greasy Strangler,tt4381236,320413
Grease,tt0077631,621
Ewoks: The Battle for Endor,tt0089110,10372
The Fifth Element,tt0119116,18
eXistenZ,tt0120907,1946
The Last Vampire on Earth,tt1778346,142709
Stone Cold,tt0102984,21338
The Mighty Ducks,tt0104868,10414
Galaxina,tt0080771,33155
The Big Lebowski,tt0118715,115
Cosmic Sin,tt11762434,681887
Godmonster of Indian Flats,tt0070119,63175
Vampires,tt0120877,9945
Surf Ninjas,tt0108258,23470
The Blues Brothers,tt0080455,525
Firepower,tt0106915,86477
Wolf,tt0111742,10395
Mad Max Beyond Thunderdome,tt0089530,9355
Bad Taste,tt0092610,9964
Eega,tt2258337,148265
The Apple,tt0080380,49069
Highlander: Endgame,tt0144964,12211
Teenage Mutant Ninja Turtles III,tt0108308,1499
Death Spa,tt0099384,28389
Flashdance,tt0085549,535
Cube,tt0123755,431
So I Married an Axe Murderer,tt0108174,10442
Skatetown U.S.A.,tt0079912,90879
The Warriors,tt0080120,11474
New Rose Hotel,tt0133122,21430
John Carter,tt0401729,49529
Rubber,tt1612774,45649
Jesus Christ Superstar,tt0070239,12545
Ready Player One,tt1677720,333339
Indecent Proposal,tt0107211,4478
Valley Girl,tt0086525,19053
Lucy,tt2872732,240832
Skulhedface,tt0138813,83294
Rise of the Black Bat,tt2205589,145161
Gangs of New York,tt0217505,3131
RoboCop 2,tt0100502,5549
The Legend of Zelda: The Hero of Time,tt1808555,1028803
Hairspray,tt0427327,2976
Hairspray,tt0095270,11054
Top Secret!,tt0088286,8764
When the Cat Comes,tt0056844,47852
The NeverEnding Story,tt0088323,34584
The Mystical Adventures of Billy Owens,tt1330208,24975
The Master of Disguise,tt0295427,13908
RRR,tt8178634,579974
Sonic the Hedgehog,tt3794354,454626
Galaxy Quest,tt0177789,926
Conan the Barbarian,tt0082198,9387
Abraham Lincoln: Vampire Hunter,tt1611224,72331
Halloween,tt0077651,948
Dracula,tt0103874,6114
Freddy vs. Jason,tt0329101,6466
Child's Play,tt0094862,10585
Dracula: Dead and Loving It,tt0112896,12110
Abbott and Costello Meet Frankenstein,tt0040068,3073
The Gamers,tt0369445,25745
Spice World,tt0120185,6116
Teenage Mutant Ninja Turtles,tt1291150,98566
Morbius,tt5108870,526896
The Holy Mountain,tt0071615,8327
Nope,tt10954984,762504
Alien,tt0078748,348
UHF,tt0098546,11959
Resident Evil: Afterlife,tt1220634,35791
Sex Kittens Go to College,tt0054298,116373
Trancers,tt0090192,5677
Falling for Christmas,tt14715170,833097
Kirk Cameron's Saving Christmas,tt4009460,295884
Jack Frost,tt0116671,27318
Batman Returns,tt0103776,364
The Guardians of the Galaxy: Holiday Special,tt13623136,774752
Hotel Noir,tt2403883,135047
Speed Racer,tt0811080,7459
Tusk,tt3099498,246403
Me You Madness,tt9735790,706646
Bubba Ho-Tep,tt0281686,9707
Everything Everywhere All at Once,tt6710474,545611
The 10th Victim,tt0059095,65632
Cat People,tt0083722,6217
Malibu Express,tt0089539,64494
The Witches,tt0100944,10166
Cube²: Hypercube,tt0285492,437
Tank Girl,tt0114614,9067
Billy Owens and the Secret of the Runes,tt1393737,61870
Poultrygeist: Night of the Chicken Dead,tt0462485,17287
Boogie Nights,tt0118749,4995
Wild at Heart,tt0100935,483
Donnie Darko,tt0246578,141
Gone in 60 Seconds,tt0187078,9679
The Birdcage,tt0115685,11000
The Gamers: Dorkness Rising,tt0447166,26235
"To Wong Foo, Thanks for Everything! Julie Newmar",tt0114682,9090
Clueless,tt0112697,9603
Magic Mike,tt1915581,77930
Thunderpants,tt0283054,21605
Some Like It Hot,tt0053291,239
Mulholland Drive,tt0166924,1018
Top Gun,tt0092099,744
The Apartment,tt0053604,284
The Game,tt0119174,2649
Brain Damage,tt0094793,27814
Swiss Army Man,tt4034354,347031
300,tt0416449,1271
The Unbearable Weight of Massive Talent,tt11291274,648579
CarousHELL,tt6034454,416154
Return to Oz,tt0089908,13155
Dark City,tt0118929,2666
Ong-Bak: The Thai Warrior,tt0368909,9316
Constantine,tt0360486,561
Timecop,tt0111438,8831
Tetris,tt12758060,726759
The Hunger,tt0085701,11654
Weird Science,tt0090305,11814
Aliens,tt0090605,679
George of the Jungle,tt0119190,10603
Ghosted,tt15326988,868759
The Blob,tt0094761,9599
Commando,tt0088944,10999
Weird: The Al Yankovic Story,tt17076046,928344
The Lighthouse,tt7984734,503919
Alien³,tt0103644,8077
Speed,tt0111257,1637
Cocaine Bear,tt14209916,804150
Striptease,tt0117765,9879
Cop Land,tt0118887,2142
Picasso Trigger,tt0095867,50560
Modesty Blaise,tt0060708,36645
M3gan,tt8760708,536554
Batman,tt0096895,268
Speed 2: Cruise Control,tt0120179,1639
Space Truckers,tt0120199,10690
Cube Zero,tt0377713,438
Xanadu,tt0081777,15668
Idiocracy,tt0387808,7512
Moonfall,tt5834426,406759
Sudden Death,tt0114576,9091
Caddyshack,tt0080487,11977
Batman: The Movie,tt0060153,2661
Volcano,tt0120461,10357
Alien: Resurrection,tt0118583,8078
Happy Gilmore,tt0116483,9614
Shark Side of the Moon,tt21426434,1011679
The Sword and the Sorcerer,tt0084749,13945
Savage Beach,tt0098257,67394
Twister,tt0117998,664
Chopper Chicks in Zombietown,tt0103959,27070
American Murder,tt0293324,144209
A Virgin Among the Living Dead,tt0066914,19095
Escape from New York,tt0082340,1103
Escape from L.A.,tt0116225,10061
The Matrix Resurrections,tt10838180,624860
Hobgoblins,tt0089280,31245
The Cabinet of Dr. Caligari,tt0010323,234
Dark Night of the Scarecrow,tt0082235,30931
Xtro,tt0086610,25834
Jason X,tt0211443,11470
Puppet Master,tt0098143,26953
Creepshow,tt0083767,16281
You're Next,tt1853739,83899
Blood Debts,tt0756288,85600
Battle Beyond the Stars,tt0080421,14460
Videodrome,tt0086541,837
Dhoom 2,tt0441048,14194
The Great Race,tt0059243,11575
Devil Girl from Mars,tt0046907,24212
ThanksKilling 3,tt2106675,140750
Taiyo Ho: El Cantale's Road,tt5183240,248904
The Meg,tt4779682,345940
There's Something in the Barn,tt23060796,956920
Trapped in Paradise,tt0111477,23719
Rare Exports,tt1401143,48395
Santa with Muscles,tt0117550,31388
Grumpy Old Santa,tt19315366,1179604
Christmas at Pee-wee's Playhouse,tt0251640,49041
God's Not Dead,tt2528814,249660
Night of the Comet,tt0087799,18462
Piranha II: The Spawning,tt0082910,31646
Attack of the Killer Tomatoes!,tt0080391,2182
Three Men and a Baby,tt0094137,12154
Alphaville,tt0058898,8072
The Amazing Colossal Man,tt0050118,43241
Slotherhouse,tt15422224,1040892
The Adventures of Buckaroo Banzai Across the 8th Dimension,tt0086856,11379
Psycho Goreman,tt11252440,670428
This Is Spinal Tap,tt0088258,11031
The Glove,tt0077614,80638
Bad Ben,tt6269810,881502
Godzilla,tt0047034,1678
The Laws of Eternity,tt0936472,324821
Cat-Women of the Moon,tt0045609,43341
Jurassic World Dominion,tt8041270,507086
Vice Girls,tt0118076,67764
Godzilla vs. Gigan,tt0068371,19336
Back to the Future,tt0088763,105
Cube,tt13975458,792678
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 Hours 11 Minutes,tt0059797,10338
Legally Blonde,tt0250494,8835
Meg 2: The Trench,tt9224104,615656
The In-Laws,tt0079336,19827
Mission Kashmir,tt0248185,46406
Shin Godzilla,tt4262980,315011
Spaceman,tt11097384,636706
Psychos in Love,tt0093800,48789
War of the Colossal Beast,tt0052378,38269
The Core,tt0298814,9341
Æon Flux,tt0402022,8202
The Black Cauldron,tt0088814,10957
Road House,tt3359350,359410
Paddington 2,tt4468740,346648
Swordfish,tt0244244,9705
Eurovision Song Contest: The Story of Fire Saga,tt8580274,531454
Godzilla Minus One,tt23289160,940721
Alita: Battle Angel,tt0437086,399579
Dr. No,tt0055928,646
From Russia with Love,tt0057076,657
Goldfinger,tt0058150,658
Ghost Rider,tt0259324,1250
REC,tt1038988,8329
Night Shift,tt0084412,14742
True Lies,tt0111503,36955
The Little Hours,tt5666304,411873
Dhoom 3,tt1833673,44977
Gas Pump Girls,tt0077597,119552
Half Baked,tt0120693,9490
Dirty Dancing: Havana Nights,tt0338096,10677
Lisa Frankenstein,tt21188080,993784
Hell of the Living Dead,tt0082559,21380
House Shark,tt8387464,482974
Scary Movie,tt0175142,4247
Suspiria,tt0076786,11906
The Crow,tt0109506,9495
Pontypool,tt1226681,23963
Austin Powers: International Man of Mystery,tt0118655,816
The Beekeeper,tt15314262,866398
Sunshine,tt0448134,1272
The Great Dictator,tt0032553,914
The Mistle-Tones,tt2490352,149032
A Very Vintage Christmas,tt10295168,626282
Red One,tt14948432,845781
Black Christmas,tt0071222,16938
Pumping Iron,tt0076578,5205
The Order,tt0304711,9616
Thunderball,tt0059800,660
Cade: The Tortured Crossing,tt24786094,1062226
Dead Alive,tt0103873,763
CarousHELL 2,tt15397504,872620
Megalopolis,tt10128846,592831
Drive Angry,tt1502404,47327
The Northman,tt11138512,639933
Ghost Rider: Spirit of Vengeance,tt1071875,71676
9 to 5,tt0080319,19494
Madame Web,tt11057302,634492
The Island of Dr. Moreau,tt0116654,9306
Canadian Bacon,tt0109370,1775
Flight of the Navigator,tt0091059,10122
Twisters,tt12584954,718821
WarGames,tt0086567,860
Night of the Creeps,tt0091630,15762
Conclave,tt20215234,974576
The Electric State,tt7766378,777443
Frankie Freako,tt32203531,1127407
The Nice Guys,tt3799694,290250
I Saw the TV Glow,tt15574270,858017
The Barbarians,tt0092615,27551
Season of the Witch,tt0479997,23047
Guns,tt0099720,46360
Fire and Ice,tt0085542,15035
Do or Die,tt0101744,35739
New York Ninja,tt15358226,870219
Hundreds of Beavers,tt12818328,1019939
My Cousin Vinny,tt0104952,10377
Them!,tt0047573,11071
Bloody Muscle Body Builder in Hell,tt6403680,393404
Surrogates,tt0986263,19959
Dredd,tt1343727,49049
Traxx,tt0096302,123806
Nosferatu,tt5040012,426063
Arena,tt0101366,44796
The Lord of the Rings: The Fellowship of the Ring,tt0120737,120
Scary Stories to Tell in the Dark,tt3387520,417384
Pumpkinhead,tt0095925,26515
The Faculty,tt0133751,9276
Weapons,tt26581740,1078605
Color Me Blood Red,tt0059044,28180
Showgirls 2: Penny's from Heaven,tt1693110,94042
The Primevals,tt9352178,632995
Predator,tt0093773,106
Christmas Evil,tt0081793,27230
Unholy Night,tt8168884,513062
The Nutcracker: The Untold Story,tt1041804,49852
Oy to the World!,tt38354983,1547926
The Lord of the Rings: The Two Towers,tt0167261,121
The Lord of the Rings: The Return of the King,tt0167260,122
Matilda: The Musical,tt3447590,668482
Not Another Teen Movie (2001),tt0277371,11397
